"category","texts"
"American (Traditional)","We were a party of three females. The place had a really nice 20's or 30's atmosphere.  My two friends ordered the short ribs which were very sufficient but...Good ambiance, fancy prices (justified by a good cause), excellent food, good service.

Delicious ribs (3-piece), great calamari (though the pieces were a...It's difficult not to like a place with so much heart so why try?  You'd be carrying around one cold, hard ticker were you to hate on Old Skool Cafe...."
"Italian","Ravioli is fresh, homemade and leave you wanting to savor every second. 

My wife had the Carlesimo, which was also delicious. I think she ended up liking...3.5/5

The atmosphere is cozy and intimate. The service was polite and attentive. Our server made us feel very welcomed. 

We started off with the burrata...Wow, oh boy where to start? Say figure it out fo yo self. Personally not returning to half ass italiano food! Lmk when u roll.
Not up to par for da..."
"Mexican","arguably at the best mexican food in SF, don't @ me

Their garlic shrimp burrito is life changing and made me want to start going back to church

I usually...Classic SF super burrito, I'd say for a ""chain"" type burrito spot, the burritos are pretty delicious and can definitely hold their own in a city with some...The good: 
The food here is decent and fresh. Maybe it's not Super Saiyan level #authentic, but get the stick out your ass and stop obsessing about..."
"American (New)","WOW. This is going down as one of my favorite meals. The ambiance was so laid back: from the lighting to the 90s music, it just felt really effortless, like...We got the chef's table which is basically one larger table that sits adjacent to the kitchen. The service was good and the interior was cute, simple, and...The first time I went to rich table, I was maybe 24. I went back again for my birthday recently and forgot how amazing the service and food is!

Rich table..."
"Mexican","I came in for Wednesday date night with my boyf after receiving a $50 gift card from a colleague and was pretty impressed. The restaurant is first come...I come to SF fairly often for work and am always looking for suggestions of places to try when I am in town. Finally had a chance to try this spot a couple...Well, I've been coming to Nopalito since they opened, but never got around to review them until now.

This place is 5  all the way! This a very good..."
"American (New)","I highly recommend their flat bread pizza, it is fresh, tasty and crispy. The french toast with peaches was very good too. My husband enjoyed the linguini...Stopped by around 11am when it opened on a Wednesday. Since we were early there was lots of seating, it's a medium sized place with bar seating as well. The...Fantastic place. Will not disappoint. Brunch can be a mob scene so come early for brunch for Saturday and Sunday. 

For brunch, soft scrambled eggs is..."
"Chinese","Real awesome place come here other Friday for hot pot. Even better to go when it is hot and raining. Shave ice is awesome!!!! The price is real good too,...Another hot pot place to cross off my list of to try. My boyfriend and I thought this place was pretty good, had some great points but also lacked in...One of my fave places for hot pot! It's $29.95 all you can eat. Their pot allows you to pick 4 soups and all the ordering is done conveniently on a tablet...."
"Korean","Though this has always been a favorite with my SF family, I finally got to join in on the experience for my sister's birthday! It's definitely popular for a...Located just north of Golden Gate Park, Han II Kwan is an good choice for authentic K-BBQ dining. I enjoy eating hot pot, and recommend it for catching up...The Food
It was a recommendation from a while back, but finally got a chance to try out Han Il Kwan. There were a variety of options to choose from, so we..."
"American (Traditional)","This place has an awesome vibe. At 8:30 in the morning on a Sunday they were packed but thankfully they had 2 seats at the counter so we didn't have to...Loved the service! The food was fresh, fast and yummy! I got the avocado toast with egg whites, a side of oatmeal and fresh strawberries! My sister got the...Amazing comfort food. Super large portions and heavy. If you plan on having an active day you can enjoy a salad. If you are ready for a nap come by and..."
"Thai","We came here on a Saturday afternoon at about noon. The place looked bigger on the outside and was a bit of a squeeze inside with our stroller. We didn't...SEND HELP JESUS TAKE THE WHEEL

my family ordered takeout from here through Ubereats.
We had the Tom Kha, pad thai, mango fried rice, papaya salad, and...When our Pad Kee Mao arrived we had no major complaints my partner  other than the dish was a bit too sweet (which we were able to overlook) I did not eat..."
"American (New)","Solidly good food at a respectable price, large portions and the salad are pretty good. 

I personally classify a place like this as an eatery not a...Crepevine is remarkably average lmao. First of all if you don't know Crepevine is a CHAIN so don't come in here expecting some one-of-a-kind anything...Quality here has been pretty so-so for many years. At one point - maybe around 2012 - they hired servers that really paid attention to you. Now it's more..."
"Italian","Absolute favorite place to eat in San Francisco if you can get a reservation! Their dishes are so unique and tasty. 

The taleggio scarpinocc and squid ink...Honestly I was underwhelmed and won't return. It's the next day and my pocket is still hurting by how expensive it was and how much I didn't care for the...The place piqued my interest because it kinda has a reputation of turning away Steve Jobs. I booked several weeks ahead and lucky enough to get a..."
"Italian","It was funny, I found this place on Yelp and decided to give it a try. Little did I know, my boyfriend and I walked by this spot one time and was like,...This cute cozy and always crowded spot is a true gem of Glen Park. For a thin crust pizza the texture boasts a toothier crunch and more defined tang than...I took my mom here for her birthday last week and it was a last minute change of restaurant. We wanted to try a different pizza place instead of our..."
"Italian","During the planning stages of our trip to Seattle, I used the talk option on yelp to ask Seattle locals about their favorite restaurant and recommendations....This is one of the best Italian places in Seattle. Especially if you are looking for one of those finer dining places. I wouldn't say this place is super...Such a cute, hidden place! 

I got the rigatoni with sausage and it was delish. My friend got the clam linguine and substituted clams for sausage and i wish..."
"Mediterranean","Loved it!

On vacay and found this cute spot for breakfast. 

I wanted some salmon and they had Eggs Benedict w/ Salmon! Mannnnn the salmon had a salt brine...We dined here for breakfast. We started with the doughnuts - fresh and delish. The server recommended the pancakes as the pancakes to beat all pancakes and...I will never eat eggs benedict anywhere else, ever again. Lola ruined all other EB for me for life. 

First off, they were straight up delicious. I hate..."
"Mexican","Craving cheap street tacos? Look nowhere else, this is your spot.

I stopped by to get a takeout order 5 minutes before closing on a Saturday night. There...This seems to be the go to place for Mexican food in Seattle. I have high standards being used to Mexican food in San Diego, but this isn't a bad option in...When your an overwhelming number of your foodie coworkers tell you Tacos Chukis is the place to go, you go without questioning. 

Being an LA native, my..."
"Italian","Oh boy here we go. I pretty much come here every week for lunch because it's THAT good. They make the best sandwiches in Seattle. There, I said it. It's a...I used to go to their old location and finally visited to their new location.  There are more spaces to eat and it was less lines which is great!
I had the...I first went to Salumi 10 years ago when we had first moved to Seattle.  I was blown away at the time by the sandwiches and went a few times more time..."
"Italian","YES! YES! YES!!!!!!


Rob, Amber, Jaime, and of course the kitchen staff are basically a power house!!! For the few who don't understand a HH rush, even you...Cool bar, yummy food, good booze

I came here for happy hour, and ordered three with my husband : 1. Bacon wrapped wild gulf prawns, 2. Organic tomato...Great place for happy hour!!

Came here last night for their famous black truffle cream sauce gnocchi and UGH it was amazing. The food here is served..."
"American (New)","Excellent homemade food that's fresh, filling, and clean. Great service and lives up to the hype.

We made reservations for weekend brunch as the place is a...Delicious brunch spot near the space needle. The server helped me choose the best option for me and it worked out very well. Fast, filling and friendly. The...If you can get a reservation for brunch, it is definitely recommended. Our group had a reservation and were seated promptly. I got the bloody mary for my..."
"Italian","Omg this place!!! Can't be happy enough with the food that they serve! I rarely want to wait an hour for food anywhere, let alone outside in a line that...3.5 rounded up due to fast service in the midst of a busy lunch rush. This place has been on my bookmarks for a while but it's been difficult getting here...OK pasta, AMAZING kale salad and focaccia bread!

Only 3 pasta dishes offered, and only 1 was vegetarian- it was basically a spiced up version of mac and..."
"American (New)","Food was ok. Wine was great. Overall experience and service were stellar.

CT (the sommelier) brought this meal over the top. He helped us identify exactly...I was in Seattle to find my wedding dress and my friends brought me here after I found it. Drinks were great! I got a lemon drop and split the baked brie...Perfect place to spend a Friday night with your date. Very romantic vibe and absolutely delicious wines. We tried their wine flights, Autochthonous and..."
"American (New)","I ordered the NY steak and it was cooked very much to my liking. The seasoning was delicious and it was served hot. Our table ordered the Brussels sprouts...**2.5 stars**

I've been dying to try Local 360 for years and finally made it here. Love their concept of sourcing ingredients within 360 miles of their...I'm always surprised at how insignificant an event brunch is in Seattle. No lines, no wait, just walk right in and sit down. In Portland, waiting in brunch..."
"American (New)","Been here a couple of times I have visited Seattle and it's always really really good. The whiskey and bourbon options are excellent and the food menu while...Excellent drinks, especially some of the ""Manhattan project"" specials.  Food options are a bit on the limited side of things, but looked fairly tasty.  I...The place is great for saturday girl's  night out. 
I love the place, the wisky here, the atmosphere, it is so pleasant and lively. 
Although the staff can..."
"American (Traditional)","Great service! Came in on a Saturday night with my boyfriend, we from out of town celebrating an early birthday for me.
As we were greeted in the front,...My rating is more of a 3.5 rounded up. Steak tartar - SKIP THIS. I love steak tartar, but this was disappointing. I found that there was an overwhelming...Love the quality and texture of the meat here! Within your first bite, you can tell the difference in quality! It's rich, flavorful and tender! What I love..."
"Mexican","I'm usually not compelled to write reviews, but everything at Fogón has just been so excellent that I'm writing this review now. 

From the hospitality to...We were craving some fairly authentic Mexican food while in Seattle and heard this place was a hopping spot -- the immediate vibes are very welcoming, loud...Came here for a snack during happy hour and was pleasantly surprised by the nice textures and tastes here. 
This is Cap Hill so expect an americanized place..."
"American (New)","Probably one of my favorite spots in Seattle. Have tried almost everything on their fixed menu and a bunch from their rotating menu and never been...Garlic pull: 4.5/5
Eggs benny: 4/5
Chicken wings: 5/5 

GET THE CHICKEN WINGS & GARLIC PULL, Enough said. No but really they're so good! If you like your...This place is a great place if you want some tasty drinks, craft beers, lively yet chill atmosphere and good service. The only downside for me and the..."
"French","Cheap and smooth cuppa coffee! 
Their Pain au chocolat is great too.

Ballard has a whole bunch of great coffee shops, and this one ranks high up on the list!The pastries and quiche are strong and fairly authentic.  However, they sometimes singe their croissants , so don't accept one that is too dark.

The...All I can say is wow! This place by far is the closest I have come across that makes a pain au chocolat like the ones in Paris. Ever since we visited the..."
"American (New)","Excellent dining experience from beginning to end. 

Food-- Pre-dinner cocktails in the piano lounge were a perfect start to the evening's dinner. We had...Any foodie in Seattle knows about Canlis. It's supposed to be best fine dining in the city. It's THE place to go for fine dining. I've had my eye on it for...I was finally able to score a last minute reservation for 2 at Canlis on a Friday night.  My wife and I headed straight to the restaurant from the airport..."
"Italian","Spinasse is an elegant Italian bistro, and it also happens to be one of the finest Italian restaurants in Seattle. It's tough to get a reservation here, and...Celebrated our mini moon here! Husband and I eloped and took a 22 hour train to Seattle on the coast starlight. My Seattle friends highly recommended this...I've been wanting to try out this place for so long and I finally got my chance! I came here on a Friday night (after 8pm) and I didn't make a reservation...."
"Indian","AHHHHH SO GOOOOOOOD.

I also recommend taking the bottomless chai challenge...

How many times can you flip your tea cup upside down before they come around...First off, I would definitely come back! Our entire table ordered butter chicken and really enjoyed it. We also ordered one bottle of wine. 

Pros: ambiance...I got a to go order via Uber Eats and was excited to try it out based on all the amazing reviews. All I got was a huge let down. Lesson learned, I'll stick..."
"American (New)","I was iffy about coming here because you literally walk down like 400 stairs. Im not even kidding. Especially in the rain, its soooo dangerous. I literally...This place fills up fast! Especially during happy hour.

We arrived at around 630 and only got in 45 mins or so later. That was fine, we kinda expected the...After a 2 hour walking tour of the Market; my friends and I were desperately seeking somewhere nearby for dinner. Wanting something outside the norm, we...I was iffy about coming here because you literally walk down like 400 stairs. Im not even kidding. Especially in the rain, its soooo dangerous. I literally...This place fills up fast! Especially during happy hour.

We arrived at around 630 and only got in 45 mins or so later. That was fine, we kinda expected the...After a 2 hour walking tour of the Market; my friends and I were desperately seeking somewhere nearby for dinner. Wanting something outside the norm, we..."
"Mediterranean","I was iffy about coming here because you literally walk down like 400 stairs. Im not even kidding. Especially in the rain, its soooo dangerous. I literally...This place fills up fast! Especially during happy hour.

We arrived at around 630 and only got in 45 mins or so later. That was fine, we kinda expected the...After a 2 hour walking tour of the Market; my friends and I were desperately seeking somewhere nearby for dinner. Wanting something outside the norm, we...I was iffy about coming here because you literally walk down like 400 stairs. Im not even kidding. Especially in the rain, its soooo dangerous. I literally...This place fills up fast! Especially during happy hour.

We arrived at around 630 and only got in 45 mins or so later. That was fine, we kinda expected the...After a 2 hour walking tour of the Market; my friends and I were desperately seeking somewhere nearby for dinner. Wanting something outside the norm, we..."
"American (New)","Was here for my sons birthday in August 2018. 
Sorry , I know I'm a little behind on my reviews . 

The food was fresh and delicious. I had a salad with...HH REVIEW ONLY:

4-6pm and 10pm-Midnight EVERYDAY!

IF YOU LOVE BREAD, ESPECIALLY SOURDOUGH YOU MUST COME HERE.

The Happy Hour prices are very reasonable...Good things first. Chicken wings, one of the best in Seattle and it ends there. 
Our waiter was very impolite and it seemed to us that she was being racist...."
"Korean","We tried this place for happy hour (5-6:30PM), and we were really impressed with the food and the service! I've eaten a lot of Korean food in Ktown in LA,...HH REVIEW ONLY:

5-6:30pm Tues-Sat

I've had Chan bookmarked for awhile and it seemed like the only decent Korean place open for dinner in Downtown Seattle....We stopped in for a happy hour on Friday night. They have a pretty great happy hour menu with lots of options and good prices. The portion sizes aren't..."
"American (New)","Quinn's is a great pub in Capitol Hill on Pike Street that not only has a good drink menu, but great food.  I sat at the bar.

I was drinking red wine--they...I came in on a Friday evening around 5 with my girlfriend. The ambiance is on point and sets the mood. Our waiter wasn't the friendliest or attentive imo....On Friday, my friend and I came here to celebrate my birthday... HUGE MISTAKE!

I ordered the wild boar sloppy joe. The presentation of the dish looked..."
"American (New)","One word: WOW. It was my friends and my last day in Seattle and we wanted to end it with some solid brunch. I didn't originally plan on coming here but the...A simple and delicious brunch menu. Including chicken and waffles, pork belly and waffles and a couple breakfast burritos. 

A simple more modern not so...Skillet is a solid brunch place in cap hill that I'll definitely be returning to.

I ordered the chilaquiles, and my friends had the chicken and waffles and..."
"American (New)","*** 4.5 stars ***

An upscale Tom Douglas restaurant. When we first walked in I was bit put off about how ""stuffy"" it seemed. I expected something more hip...We had the vegetarian gnocchi and the vegan falafel, spring greens salads and wine. It's not a cheap dinner and while good there are other places throughout...Located across the street from Hotel Andra. 

Food was all right - I had the cod. But the dessert I had was fabulous! The waitress said it was a good size..."
"Mediterranean","As a avid fan of Mediterranean food and a newcomer to Seattle, I was very excited to try out this restaurant. 

While this visit did have a hiccup in the...Update: down to 3 stars from 5 :(.
Food is good, that is the 3 stars. This time I feel pretty cheated. I ordered the Zahra again and this was 25% of the...Little pricy but the quality-wise, it was good.
Had their lunch specialty ""taste of Africa"" and a mango lassi. 
Mango lassi wasnt as sweet as I thought but..."
"American (New)","BEST breakfast, WORST customer service. 4 stars for the delicious food and amazing fruit bar. Knocking 1 star off for the awful service. They have several...Loveeeeeeee this spot! 

Can you say ""Ah mah Zing"" first if you don't have reservations heads up it gets packed so it's always good to make a reservation...Yes, it's that good. Phil's breakfast is spectacular.
Fresh bread, berries, fresh eggs and mimosa.
It's all perfect. Crowded at times, but way worth the..."
"French","I am neither in the ""for"" or ""against"" side in the never ending war (at least amongst my friends) about whether brunch really should be thoroughly enjoyed,...We stopped here for coffee and needed up staying for food. The place looks small, but there's an entire room in the back that has more seating. When I was...A local favorite for me. I live nearby, and this has become my favorite brunch space for friends and visitors. Kombucha on tap is great, and I love the..."
"Mediterranean","We LOVE this place. We go here at least once every two weeks, enough that the staff know us well. They serve incredibly authentic Turkish dishes that...Hard pass. First, it's overpriced for what it offers. Food will taste good, if you are craving for some Turkish food (which is why it's getting an...Came here on a late Saturday afternoon for some snacks.

We ordered an Orient Express Platter ($19) with Hummus, Wholesome Aegean Musakka, Kefir cheese and..."
"American (Traditional)","I was interested in this place because of the 1,000+ reviews and high rating. Then, after watching the Evening Magazine clip, I decided to go. 

HOLY CRAP...First thing I noticed about this place is that the pictures that people took don't do it justice (sorry, fellow Yelpers!). This place looks a lot bigger and...I came here on a whim with a friend, and this is one of the best breakfast spots I've ever had the pleasure of dining at. 

I ordered the chicken fried..."
"Italian","Alright, if you read my reviews, you'll know I'm just straight up and detail oriented so let's get started! Finding this place with mapquest on foot  was a...I love pizza, and after hearing that this places serves huge pizzas capable of feeding 3-4 people per pie, I had to see what the commotion was about. The...I've been a fan of this place for a few years! Since I don't get to First Hill  as often as I used to, it took me a while to return after the new ownership..."
"Italian","Wow. Altura knows how to handle business... like, it's business time. Their customer service, ambiance, cocktails and tasting menu were all amazing. While...The creative ideas and the ambience and customer service are exceptional. No condescending look if you don't want wine matching. Very swift and punctual...Altura is the single best argument for the Michelin Guide adding Seattle to the list of cities it includes. It is certainly one of the best dining..."
"Vegan","I love Mighty-O, and I'm not even vegan!! Their donuts taste fresh and are flavorful, the wait staff is friendly, and they have pretty decent coffee. Last...(Visited July 2018)

The donuts here are not the typical fluffy donuts.  They were solid and thick but still good.  There was a large variety of flavors to...Vegan donuts. Something my vegan partner oft dreams of at night. And here they are, in Seattle, where we are visiting. Right next to the house we are..."
"American (New)","Matt's is an authentic seafood joint serving up some excellent and local fish favorites. I tried it for lunch, and it was nearly impossible to find. Despite...If you find yourself in Seattle, don't miss out on this experience. try to make reservations as it's an intimate setting that gets packed for its culinary...My wife and I came in for dinner without reservations and they were able to accommodate us quite easily. 

We started with the Roasted Brussels sprouts &..."
"French","Good place. Will definitely come here again.

Enjoyed the French onion soup and the prices were quite reasonable.We Strolled into this French bistro just on the outskirt of the Pike Place Market. The lay out is simple yet inviting.  Ordered something simple for our...Le Pichet is an elegant French bistro conveniently located just north of the Pike Place Market. The restaurant is small but inviting, and I was excited to..."
"American (New)","Slept in and ended up waking up late for breakfast. We had called all the other breakfast/brunch restaurants and were told that it would be about an hour...We stayed at the nearby Thompson Hotel last weekend and walked over to Shaker and Spear for dinner. We started off in Penny Royal (the bar in the lobby of...My buddy and I liked this place. It had a fun, dark atmosphere. The food is served by the restaurant next door and I can't remember what it's called but..."
"Italian","We went to Barolo, with a large party of 12 or 13, to celebrate a birthday and we had a wonderful time. It does a very good job at catering to special...Like many of the reviews, the place was just kinda ""eh"", not very impressive. Although the staff attempt to provide a good impression in accommodating their...Ciao, amici!
Yummy Italian fare in downtown Seattle! Popped in for lunch and was pleasantly surprised by the amazing cuisine, friendly service, and charming..."
"Vietnamese","This is my favorite place for lunch and dinner every time I visit Seattle. The service is bar none and the food is delicious.

Nice to see the business...Came in on a rainy day to enjoy some noodle soup. I got the combo pho and my friend got the bun bo hue. I didn't try any of her food, so I can't comment on...Disclaimer: Vietnamese girl from Northern CA and raised on my vietnamese mom's home cooking, so my review might be bias but I have high standards when it..."
"Vegan","After landing at Seatac already researched before arriving here for vegan/vegetarian places this showed up. 
Reviews menu and pictures of food looked...Delicious, nutritious, flavorful vegan and vegetarian fare! I've been wanting to try this spot out for a few years, but finally got around to it recently. I...This is the first time that we have been to this restaurant and it did not disappoint in any way. Very cute setting, great service and the food was really..."
"Vegan","This place came highly recommended from the nice passengers of Seattle I shared a Lyft from the airport with.  This was the only Veg place I had the...Not some of the best vegan food I have had in awhile - some of the best food, full stop.

Beet poke is sweet and tangy and gorgeously presented, with puffy...This vegan restaurant has been the best so far! Their food is mouth watering, and I have yet to come across any place else that serves vegan food as..."
"Vietnamese","In the Vietnamese hotspot haven of Seattle, my wife and I found Tamarind Tree. In fact, I had seen it on so many ""Best of Seattle"" lists that it was just...Good ambience. Variety of options to eat. Great service. 

I liked the place and will definitely come back one more time. I tried those traditional...I've upgraded to 5 stars because this is definitely my favorite Viet restaurant in all of Seattle, along with Pho Bac Sup Shop. My Vietnamese parents who..."
"Vietnamese","Hands down one of my favorite places in Seattle. It's a great spot for a date night or out of town guests. Food and beverages are incredible and the...A solid restaurant to visit once but not a place I would go out of my way to return to. That said, it seems like Stateside is exceptional for its brunch...Stopped in for brunch one morning while visiting the Seattle area. It was fairly empty around 10 AM, granted it was a week day. The wait staff was very..."
"Thai","Aroi Mak Mak. 
Or Zapeelee. 
Ordered ka na muu grob, khao neaw sang ka ya, neau yaang & muu pha lo!Food:  is usually tasty and well-preparer.  They avoid the standard Thai fare in favor of more upscale dishes.

Service:  varies from friendly to a little...This is the best Thai food I've had in awhile. Had wanted to come before, but they're closed Tuesdays, which it says on their website, but not on Yelp.
So..."
"Vegan","100% vegan restaurant. My waitress was super helpful and kind when i couldn't decide what the order and i was seated right away around 11:30. 

The mushroom...Even though my boyfriend and I are both vegetarians from this area, this was the first time we checked this place out. We ordered the mac 'n' yease which I...I seriously now have a different perspective on vegan food. A coworker and I had to drive up to Seattle for a last minute work trip. She is vegan and highly..."
"Korean","I've been here multiple times for brunch and keep going back. This is one of those places that I tell visitors to seattle to not miss out on. Their brunch...I was actually surprised that this restaurant is so popular at the end of my meal. 

My friends came here for a brunch. Arrived half an hour after opening...The food is tasty but portions are so small you'll leave hungry. We ordered 2 plates each, 5 people split the bill $37 each. Wouldn't recommend for group..."
"Korean","You know when someone picks out a restaurant to eat at and you're not really feeling it but you go anyways. That was my situation when coming here. My bf...The tofu tacos are absolutely yummy. I also love the way they do their fries.

The breakfast burrito (I'm vegetarian, so this refers to the version without...I can dig it.

Let me start by saying parking is a pain but if you drive around for long enough you're sure to find a spot. Marination Ma Kai is nestled..."
"Chinese","Mike's is a Seattle staple for noodle soup. All my friends that grew up in Seattle ate at Mike's when they grew up. So it's a testament to how good it is as...Fast service, good food. Seating is limited so might be a wait.

We got wonton noodles, beef noodles, and beef brisket noodles. All pretty good after we had...Me and some work buddies went.   They had been there,  I had not.

Really liked it.   I got a noodle soup with squid meatballs and karsiu (I may have..."
"American (New)","The food and drinks are fantastic. 

The service once you're seated is good. However, the hosting position leaves much to be desired. 

The small slip up in...Another A-OK experience.
Went for their happy hour with my colleagues. We were a party of 11 and had prior reservation.
The food was a hit-or-miss. Both the...I love Black Bottle! Every dish on the menu we tried was pretty awesome. We went for my bday party (back in July) with a large group of friends and the food..."
"French","This is a nice quaint little café in Post Alley. The people serving are very kind and friendly. They are also more than willing to recommend dishes that you...I had brunch here with my friend. Based on the blah food I had and the matching service, I most likely won't be coming back. 

I was torn on what to order...Excellent first time experience. We ordered the French onion soup, the steak fritte and some wine. The soup was prepared perfectly and it was everything a..."
"American (New)","How have I not reviewed this place yet?! 

Love the food, great selection, love that they have non pork/beef breakfast sausage options (chicken sausage). So...Cute café, had the Americana Benedict and lavender mimosa. Both were good, the Benedict is different, potatoes pancake (hash brown like) instead of English...All of my experiences there have been nothing short of bliss. Capitol Hill's food will just do that to you, though. Wait or no wait, Americana is worth it...."
"Korean","This place has great great food. It's got a very cool vibe and is currently extremely conveniently located to Amazon SLU campus so there's really no excuse...Meh, pass. went in knowing that it's fusion, left feeling that the plates were quite lacking, like beta experiments

Food:
Pork belly pancake: no pork...Although really excited for this meal--based on reviews of their Fremont location--both my partner and I were let down by the flavour. It almost seemed...This place has great great food. It's got a very cool vibe and is currently extremely conveniently located to Amazon SLU campus so there's really no excuse...Meh, pass. went in knowing that it's fusion, left feeling that the plates were quite lacking, like beta experiments

Food:
Pork belly pancake: no pork...Although really excited for this meal--based on reviews of their Fremont location--both my partner and I were let down by the flavour. It almost seemed..."
"American (New)","This place has great great food. It's got a very cool vibe and is currently extremely conveniently located to Amazon SLU campus so there's really no excuse...Meh, pass. went in knowing that it's fusion, left feeling that the plates were quite lacking, like beta experiments

Food:
Pork belly pancake: no pork...Although really excited for this meal--based on reviews of their Fremont location--both my partner and I were let down by the flavour. It almost seemed...This place has great great food. It's got a very cool vibe and is currently extremely conveniently located to Amazon SLU campus so there's really no excuse...Meh, pass. went in knowing that it's fusion, left feeling that the plates were quite lacking, like beta experiments

Food:
Pork belly pancake: no pork...Although really excited for this meal--based on reviews of their Fremont location--both my partner and I were let down by the flavour. It almost seemed..."
"American (New)","We finally found the restaurant we have been looking for since moving to Seattle.   On the water with true sunset views.    Competent staff and friendly...The restaurant is located in the Edgewater Hotel. The restaurant has stunning views of the water. There is also a bar/lounge area for casual bites and...Love the location, the food and service is good to but this gets my top marks for its view, the desserts and lounge (bar) food! You have to try the key lime..."
"American (New)","Great spot. Open late!
Friendly staff.

Harder than we thought to find some late night dining near our hotel.  Lecosho accepted us with open arms, great...Hey folks!!  

Lecosho was a last minute selection to feed 10 hungry guys who had spent five hours in a locked conference room solving problems.   The fact...Ehhh because I'm writing this review I get to choose the rating (the four others would have given it a 4 and I would have given it a 2, so we meet in the..."
"American (Traditional)","Pike Place Chowder's New England clam chowder is one of the best chowders because of the simple fact it contains a generous amount of meaty, delicious...Let's see how I feel about this place.  So it's a pretty popular place, so I do suggest giving it a try if you're in seattle just to say you've tried this...If you're visiting Seattle, I guess you have to give this place a try. But honestly, it wasn't worth the hype. 

The wait was incredibly long so we decided..."
"American (New)","Just went here last night to celebrate my boyfriend's birthday. This was both of our first time here, and we loved it. We both had the 7 course tasting menu...Wasnt really impressed with some of the main dishes on the 2019 Valentine's Day taste menu. 

The appetizers (foreplay) were top notch. It was thrilling to...One of my favorite places. The tasting menu is a good one. They do a great job pairing wines and changing their menu with the seasons. 

Location is great,..."
"American (New)","Fantastic vibe and great food.  I've been to Palace Kitchen for dinner a couple of times while on business trips to Seattle and I have not been...I visited and reviewed the Palace about 18 months ago, which was excellent.
Tonight I had the NY striploin, excellent.

Unfortunately on this occasion I can...Love the late night snack options. Even has a steak and frites specifically for late night! We came around 10pm and it was pretty packed at the bar on a..."
"American (New)","I came most recently when my parents were in town visiting and I was so pleased with the entire experience, per usual. 

Our server, while new, was very...This location was excellent for my party of 6. Wine list was very good, food came out quickly, and our server was very attentive. I saw that they have a...Heartwood is still going strong. We came for a recognition event and were taken care of.

It was pretty busy when we came, but we didn't have any problem..."
"American (New)","Portage Bay is a brunchy joint, serving up some delicious breakfast classics. I tried the oatmeal French toast, it was perfect. Most of their pancake and...Had a few friends come here all in a single week and I had to check out what it was all about. We had a friend in town and we decided to eat her for...SERVE LIKE YOU GIVE D@&N!!!! I still remember it like it was yesterday...oh because it was, walking into Portage Bay for the first time, seeing that grand..."
"Korean","This place gets 5 stars on service alone. Stopped in for lunch and they had quite a few people there so I grabbed a dish and started picking things out from...Umma's Lunch Box is great! 

The cost depends on the size of the plastic box you choose, so you can fill it with whatever you feel like eating. With taxes,...I was greeted by a perfect example of stellar customer service. The guy working at the counter could definitely tell that it was my first time visiting..."
"Italian","I'd heard so many great things about this place and we finally got around to trying it.

The dining room is a bit like a sauna...in that it's all...I really wanted to like this place. Great ambiance, great service, overall great feeling when you walk in. The issue I ran into was with the food. If I'm...So. Good. And so conveniently located to where I live!

If you are even thinking about eating at How To Cook a Wolf, MAKE A RESERVATION NOW!  The restaurant..."
"Mexican","This place is really good, I love the variety of salsas they have, each with their own level of heat for variety. 
My boyfriend and I both ordered the same...By far the best Mexican restaurant in Seattle. 

Authentic, fresh and vibrant! and for those complaining about the portions, please realize that this IS a...Where are the beans?   
  Authentic food on a nice street, and a parking lot across street, all good. 
Home made tortillas and the chips were still warm;..."
"Italian","This is the kind of place that ""new Seattle"" needs more of - but not the kind of place you can build in a day. It's the opposite of generic and mod - it's...We had someone recommend this place to us, and overall I did enjoy this restaurant. I probably wouldn't hurry to return, but if I really wanted Italian food...The olive oil here was some of the best I've ever had. The focaccia was also tasty, and was mostly just helpful in getting more olive oil into my mouth. You..."
"Italian","Came here on a Tuesday right when they opened at 5pm. I didn't even know they had hh at that time so that was a treat! We decided to sit by the window in...We dropped in on a friday night due to high reviews and were pleased to be squeezed in between reservations.  I ordered the Bucatini Carbonara, which was an...HAPPY HOURRRRRRR!

But for real.  Come for the HH.  Daily from 5-7PM and it is literally the best deal in town.  I am actually not sure why people come at..."
"American (New)","Delicious food, beautiful presentation, good portion sizes. The server was attentive but not intrusive, and was quick to help us clean the table and...Poppy has a lot of things going for it, amazing decor, great service, fun ambiance, but food isn't their strong suit. They've tried to incorporate a number...Went there for a dinner date on our anniversary which it did not end so well as i came back home hungry and grumpy. They have tried to be exotic and..."
"American (Traditional)","A.maze.ing.
If you want quality food in Seattle, look no further than Steelhead Diner.

This place has a rotating, ever-changing menu that always hits the...I arrived in Seattle from the Midwest on Sunday morning. I was tired and famished from my journey and was looking to recharge with a delicious seafood meal,...Business dinner, a table of 15 on a Wednesday. Definitely needed reservations and made sure to be there on time. I tried the Trout, with the dressing on the..."
"American (Traditional)","The 5 Spot Restaurant has been a Seattle icon for years, situated at the peak of Queen Anne Avenue.  It is a great place for breakfast, lunch, dinner, or...Came in for Sunday breakfast and after scouring the breakfast menu--the two things that ""stuck out"" were the breakfast enchiladas and the beignets. We also...I always liked their ""theme of the month"" motif, but I've just had one too many mediocre meals here. My last one was an over cooked and tasteless lamb..."
